id;name;type;status;open_year;open_year_original;budget_mdkk;agency;parent_id;source_url;source_doc;kommuner_override;geometry_source;map;notes
m5-phase-1;Metro M5, phase 1 (København H – Prags Boulevard);metro;decided;2036;;;Metroselskabet;;https://metroselskabet.dk/m5/;;;stations;true;"Alignment is not published as open data; the line is drawn through the station points below and is indicative. No budget in Anlægsstatus 1H 2026 — the report mentions M5 only as ""den mulige nye metro-linje (M5)"" (p. 22)."
m5-st-koebenhavn-h;M5: København H;metro;decided;2036;;;Metroselskabet;m5-phase-1;https://metroselskabet.dk/m5/;;;"osm:nwr[""name""~""^København H$""](55.66,12.54,55.69,12.59)";true;"Existing station; OSM maps it as railway=stop nodes, the point is their representative point."
m5-st-bryggebroen;M5: v/Bryggebroen;metro;decided;2036;;;Metroselskabet;m5-phase-1;https://metroselskabet.dk/m5/;;;"osm:way[""name""=""Bryggebroen""](55.64,12.55,55.68,12.60)";true;Indicative: placed at the named landmark, the station is not sited yet.
m5-st-dr-byen;M5: DR Byen;metro;decided;2036;;;Metroselskabet;m5-phase-1;https://metroselskabet.dk/m5/;;;"osm:node[""railway""=""station""][""name""=""DR Byen""](55.64,12.56,55.67,12.60)";true;Existing station, exact location.
m5-st-amagerbrogade-s;M5: v/Amagerbrogade S;metro;decided;2036;;;Metroselskabet;m5-phase-1;https://metroselskabet.dk/m5/;;;"osm:way[""name""=""Amagerbrogade""](55.64,12.58,55.66,12.62)";true;Indicative: placed on the named street, the station is not sited yet.
m5-st-lergravsparken;M5: Lergravsparken;metro;decided;2036;;;Metroselskabet;m5-phase-1;https://metroselskabet.dk/m5/;;;"osm:node[""railway""=""station""][""name""=""Lergravsparken""](55.64,12.59,55.68,12.64)";true;Existing station, exact location.
m5-st-prags-boulevard-oest;M5: v/Prags Boulevard Øst;metro;decided;2036;;;Metroselskabet;m5-phase-1;https://metroselskabet.dk/m5/;;;"osm:way[""name""=""Prags Boulevard""](55.66,12.58,55.70,12.64)";true;Indicative: placed on the named street, the station is not sited yet.
m5-phase-2;Metro M5, phase 2 (Refshaleøen – Lynetteholm);metro;decided;2045;;;Metroselskabet;;https://metroselskabet.dk/m5/;;;stations;true;Alignment indicative, drawn through the station points below. Depends on Lynetteholm being built.
m5-st-refshaleoeen;M5: v/Refshaleøen;metro;decided;2045;;;Metroselskabet;m5-phase-2;https://metroselskabet.dk/m5/;;;"osm:way[""name""=""Refshalevej""](55.68,12.59,55.70,12.63)";true;Indicative: placed on Refshalevej, the station is not sited yet.
m5-st-lynetteholm-s;M5: v/Lynetteholm S;metro;decided;2045;;;Metroselskabet;m5-phase-2;https://metroselskabet.dk/m5/;;101;"osm:nwr[""name""=""Lynetteholm""](55.68,12.57,55.75,12.68)";true;Indicative: OSM has Lynetteholm as a single named point, so both M5 phase-2 Lynetteholm stations fall on it until the island is mapped.
m5-st-lynetteholm-n;M5: v/Lynetteholm N;metro;decided;2045;;;Metroselskabet;m5-phase-2;https://metroselskabet.dk/m5/;;101;"osm:nwr[""name""=""Lynetteholm""](55.68,12.57,55.75,12.68)";true;Indicative, same OSM point as Lynetteholm S — the two stations cannot be told apart yet.
lynetteholm;Lynetteholm (new island, urban development and flood protection);urban_dev;construction;;;;By & Havn / Lynetteholm I/S;;https://www.byoghavn.dk/lynetteholm/;Anlægsstatus 1H 2026 p. 37 (named as co-financier of Nordhavnstunnel);101;manual:wkt:POLYGON((12.6170 55.7020, 12.6420 55.7020, 12.6420 55.7180, 12.6170 55.7180, 12.6170 55.7020));true;schematic corridor — not an official alignment. Rough reclamation area east of Refshaleøen (~2.8 km²), drawn by hand — By & Havn publishes no open-data boundary. No own budget or opening year in Anlægsstatus 1H 2026.
nordhavn-udvikling;Nordhavn urban development;urban_dev;construction;;;;By & Havn;;https://www.byoghavn.dk/nordhavn/;;101;manual:wkt:POLYGON((12.5900 55.7060, 12.6250 55.7060, 12.6250 55.7250, 12.5900 55.7250, 12.5900 55.7060));true;schematic corridor — not an official alignment. Rough development area north of Nordhavn station, drawn by hand — By & Havn publishes no open-data boundary.
