kommune_kode,kommune_navn,kystkode,kystnavn,shared_coast_m,other_kystkoder,other_kystnavne,other_shared_coast_m,n_stretches,coast_m,nearest_stretch_m,rule
0101,København,SJ7,Øresunds_kyst                  ,87800,SJ8,Køge_Bugt                      ,35550,2,115731,0,longest_shared_coastline
0153,Brøndby,SJ8,Køge_Bugt                      ,3100,,,,1,2988,0,longest_shared_coastline
0155,Dragør,SJ8,Køge_Bugt                      ,11350,SJ7,Øresunds_kyst                  ,7225,2,17388,0,longest_shared_coastline
0157,Gentofte,SJ7,Øresunds_kyst                  ,12250,,,,1,11327,0,longest_shared_coastline
0167,Hvidovre,SJ8,Køge_Bugt                      ,10925,,,,1,10279,0,longest_shared_coastline
0173,Lyngby-Taarbæk,SJ7,Øresunds_kyst                  ,3825,,,,1,3645,0,longest_shared_coastline
0183,Ishøj,SJ8,Køge_Bugt                      ,3900,,,,1,3735,0,longest_shared_coastline
0185,Tårnby,SJ7,Øresunds_kyst                  ,98975,SJ8,Køge_Bugt                      ,6400,2,90416,0,longest_shared_coastline
0187,Vallensbæk,SJ8,Køge_Bugt                      ,425,,,,1,376,0,longest_shared_coastline
0210,Fredensborg,SJ7,Øresunds_kyst                  ,11875,,,,1,11202,0,longest_shared_coastline
0217,Helsingør,SJ4,Nordsjællands_kyst             ,21200,SJ7,Øresunds_kyst                  ,12575,2,31443,0,longest_shared_coastline
0223,Hørsholm,SJ7,Øresunds_kyst                  ,8675,,,,1,8254,0,longest_shared_coastline
0230,Rudersdal,SJ7,Øresunds_kyst                  ,7950,,,,1,7585,0,longest_shared_coastline
0250,Frederikssund,SJ6,Roskilde_Fjord                 ,98350,SJ5,Isefjord                       ,40625,2,129549,0,longest_shared_coastline
0253,Greve,SJ8,Køge_Bugt                      ,10125,,,,1,9763,0,longest_shared_coastline
0259,Køge,SJ8,Køge_Bugt                      ,27525,,,,1,25969,0,longest_shared_coastline
0260,Halsnæs,SJ6,Roskilde_Fjord                 ,28425,SJ4;SJ5,Nordsjællands_kyst             ;Isefjord                       ,17650;12950,3,56274,0,longest_shared_coastline
0265,Roskilde,SJ6,Roskilde_Fjord                 ,48375,,,,1,44801,0,longest_shared_coastline
0269,Solrød,SJ8,Køge_Bugt                      ,10750,,,,1,10071,0,longest_shared_coastline
0270,Gribskov,SJ4,Nordsjællands_kyst             ,30850,,,,1,30404,0,longest_shared_coastline
0306,Odsherred,SJ3,Sejrø_Bugt                     ,66100,SJ5;SJ4,Isefjord                       ;Nordsjællands_kyst             ,52625;39025,3,152354,0,longest_shared_coastline
0316,Holbæk,SJ5,Isefjord                       ,98450,,,,1,93353,0,longest_shared_coastline
0320,Faxe,SD7,Faxe_Bugt                      ,32700,,,,1,31818,0,longest_shared_coastline
0326,Kalundborg,SJ2,Storebælt_nordøst              ,102050,SJ3,Sejrø_Bugt                     ,83375,2,178379,0,longest_shared_coastline
0330,Slagelse,SD5,Smålandsfarvandet              ,173825,SJ2;SD3;SJ1,Storebælt_nordøst              ;Storebælt_Sydvest              ;Storebælt_nordvest_og_Odense_Fjord,36250;3250;850,4,204402,0,longest_shared_coastline
0336,Stevns,SJ8,Køge_Bugt                      ,27900,SD7,Faxe_Bugt                      ,15875,2,42204,0,longest_shared_coastline
0350,Lejre,SJ6,Roskilde_Fjord                 ,51700,SJ5,Isefjord                       ,17550,2,65076,0,longest_shared_coastline
0360,Lolland,SD4,Femern_Bælt                    ,163175,SD5,Smålandsfarvandet              ,143025,2,293819,0,longest_shared_coastline
0370,Næstved,SD5,Smålandsfarvandet              ,90675,SD7,Faxe_Bugt                      ,4050,2,90262,0,longest_shared_coastline
0376,Guldborgsund,SD4,Femern_Bælt                    ,130750,SD5;SD6,Smålandsfarvandet              ;Falsters_og_Møns_Østersøkyst   ,108050;74075,3,306110,0,longest_shared_coastline
0390,Vordingborg,SD7,Faxe_Bugt                      ,147975,SD6;SD5,Falsters_og_Møns_Østersøkyst   ;Smålandsfarvandet              ,135900;90000,3,360413,0,longest_shared_coastline
0400,Bornholm,SJ9,Bornholms_kyst                 ,164900,,,,1,149931,0,longest_shared_coastline
0410,Middelfart,SD1,Lillebælt_sydlig               ,81525,OJ7;OJ6,Lillebælt_central              ;Lillebælt_nordlig              ,28975;6125,3,112887,0,longest_shared_coastline
0411,Christiansø,SJ9,Bornholms_kyst                 ,6950,,,,1,5596,0,longest_shared_coastline
0420,Assens,SD1,Lillebælt_sydlig               ,101875,,,,1,97858,0,longest_shared_coastline
0430,Faaborg-Midtfyn,SD2,Sydfynske_Øhav                 ,92050,SD1,Lillebælt_sydlig               ,35475,2,121651,0,longest_shared_coastline
0440,Kerteminde,SJ1,Storebælt_nordvest_og_Odense_Fjord,152275,,,,1,144731,0,longest_shared_coastline
0450,Nyborg,SD3,Storebælt_Sydvest              ,40375,SJ1,Storebælt_nordvest_og_Odense_Fjord,12725,2,52194,0,longest_shared_coastline
0461,Odense,SJ1,Storebælt_nordvest_og_Odense_Fjord,23050,,,,1,32906,0,longest_shared_coastline
0479,Svendborg,SD2,Sydfynske_Øhav                 ,157675,SD3,Storebælt_Sydvest              ,23850,2,175153,0,longest_shared_coastline
0480,Nordfyns,SJ1,Storebælt_nordvest_og_Odense_Fjord,85475,OJ6,Lillebælt_nordlig              ,65400,2,143035,0,longest_shared_coastline
0482,Langeland,SD2,Sydfynske_Øhav                 ,105200,SD4;SD3,Femern_Bælt                    ;Storebælt_Sydvest              ,56225;24625,3,179150,0,longest_shared_coastline
0492,Ærø,SD2,Sydfynske_Øhav                 ,118750,,,,1,114108,0,longest_shared_coastline
0510,Haderslev,SD1,Lillebælt_sydlig               ,106275,,,,1,127314,0,longest_shared_coastline
0540,Sønderborg,SD1,Lillebælt_sydlig               ,239950,,,,1,245070,0,longest_shared_coastline
0550,Tønder,VH1,Vadehavskyst_sydlig            ,76275,VH2,Vadehavskyst_central           ,43850,2,144094,0,longest_shared_coastline
0561,Esbjerg,VH2,Vadehavskyst_central           ,61550,VH3,Vadehavskyst_nordlig           ,50625,2,106508,0,longest_shared_coastline
0563,Fanø,VH3,Vadehavskyst_nordlig           ,61250,VH2,Vadehavskyst_central           ,7375,2,66250,0,longest_shared_coastline
0573,Varde,VH3,Vadehavskyst_nordlig           ,49300,VK1,Vestkyst_central               ,33350,2,79638,0,longest_shared_coastline
0580,Aabenraa,SD1,Lillebælt_sydlig               ,58675,,,,1,106583,0,longest_shared_coastline
0607,Fredericia,OJ7,Lillebælt_central              ,29700,OJ6;SD1,Lillebælt_nordlig              ;Lillebælt_sydlig               ,12625;4050,3,44681,0,longest_shared_coastline
0615,Horsens,OJ6,Lillebælt_nordlig              ,68100,OJ5,Århus_Bugt                     ,4925,2,70199,0,longest_shared_coastline
0621,Kolding,SD1,Lillebælt_sydlig               ,60975,,,,2,58962,0,longest_shared_coastline
0630,Vejle,OJ6,Lillebælt_nordlig              ,33225,,,,1,32092,0,longest_shared_coastline
0661,Holstebro,VK1,Vestkyst_central               ,33125,LF3,Limfjorden_ved_Lemvig          ,13375,2,85400,0,longest_shared_coastline
0665,Lemvig,LF3,Limfjorden_ved_Lemvig          ,71925,VK1;VK4,Vestkyst_central               ;Vestkysten_ud_for_Limfjorden   ,31225;24075,3,136992,0,longest_shared_coastline
0671,Struer,LF3,Limfjorden_ved_Lemvig          ,147250,,,,1,141962,0,longest_shared_coastline
0706,Syddjurs,OJ5,Århus_Bugt                     ,135475,OJ4,Djurslands_østkyst_og_Anholt   ,24100,2,153548,0,longest_shared_coastline
0707,Norddjurs,OJ4,Djurslands_østkyst_og_Anholt   ,62150,OJ2;OJ3,Ålborg_Bugt                    ;Randers_Fjord_og_Mariager_Fjord,52125;36700,3,145323,0,longest_shared_coastline
0727,Odder,OJ6,Lillebælt_nordlig              ,50725,OJ5,Århus_Bugt                     ,43525,2,90994,0,longest_shared_coastline
0730,Randers,OJ3,Randers_Fjord_og_Mariager_Fjord,107750,OJ2,Ålborg_Bugt                    ,3550,2,102793,0,longest_shared_coastline
0741,Samsø,SJ3,Sejrø_Bugt                     ,96325,OJ5;SJ1,Århus_Bugt                     ;Storebælt_nordvest_og_Odense_Fjord,38575;1700,3,128349,0,longest_shared_coastline
0751,Aarhus,OJ5,Århus_Bugt                     ,69925,,,,1,68307,0,longest_shared_coastline
0760,Ringkøbing-Skjern,VK1,Vestkyst_central               ,115550,,,,1,223087,0,longest_shared_coastline
0766,Hedensted,OJ6,Lillebælt_nordlig              ,78125,,,,1,75786,0,longest_shared_coastline
0773,Morsø,LF4,Limfjorden_ved_Thisted         ,78950,LF3;LF2,Limfjorden_ved_Lemvig          ;Limfjorden_ved_Skive           ,76050;41225,3,186564,0,longest_shared_coastline
0779,Skive,LF2,Limfjorden_ved_Skive           ,150175,LF3,Limfjorden_ved_Lemvig          ,51475,2,194407,0,longest_shared_coastline
0787,Thisted,LF4,Limfjorden_ved_Thisted         ,90775,VK5;LF3;VK4,Skagerrakkyst_sydlige          ;Limfjorden_ved_Lemvig          ;Vestkysten_ud_for_Limfjorden   ,79100;67900;16750,4,245318,0,longest_shared_coastline
0791,Viborg,LF2,Limfjorden_ved_Skive           ,40400,,,,1,38904,0,longest_shared_coastline
0810,Brønderslev,OJ1,Kattegatkyst_nordlige          ,15250,,,,1,14246,0,longest_shared_coastline
0813,Frederikshavn,OJ1,Kattegatkyst_nordlige          ,133825,VK6,Skagerrakkyst_nordlig          ,27150,2,154998,0,longest_shared_coastline
0820,Vesthimmerlands,LF2,Limfjorden_ved_Skive           ,84850,LF1;LF4,Limfjord_østlig                ;Limfjorden_ved_Thisted         ,15125;7750,3,103937,0,longest_shared_coastline
0825,Læsø,OJ1,Kattegatkyst_nordlige          ,157525,,,,1,145489,0,longest_shared_coastline
0846,Mariagerfjord,OJ3,Randers_Fjord_og_Mariager_Fjord,90950,OJ2,Ålborg_Bugt                    ,23325,2,108890,0,longest_shared_coastline
0849,Jammerbugt,LF1,Limfjord_østlig                ,68225,VK6;VK5;LF4,Skagerrakkyst_nordlig          ;Skagerrakkyst_sydlige          ;Limfjorden_ved_Thisted         ,34450;17050;14350,5,129780,0,longest_shared_coastline
0851,Aalborg,LF1,Limfjord_østlig                ,174525,OJ2;OJ1,Ålborg_Bugt                    ;Kattegatkyst_nordlige          ,25325;22250,3,212433,0,longest_shared_coastline
0860,Hjørring,VK6,Skagerrakkyst_nordlig          ,61175,,,,1,60048,0,longest_shared_coastline
